trade_date,option_symbol,underlying,type,expiration,strike,upx,bid,ask,implied_vol,volume,open_interest
2013-08-16,SPY130921P00138000,SPY,put,2013-09-21,138,165.83,0.07,0.08,0.2742661697829862,2,13782
2013-08-16,SPY130921P00139000,SPY,put,2013-09-21,139,165.83,0.08,0.09,0.2696021334673393,339,14814
2013-08-16,SPY130921P00140000,SPY,put,2013-09-21,140,165.83,0.09,0.1,0.26436880098498733,575,96322
2013-08-16,SPY130921P00141000,SPY,put,2013-09-21,141,165.83,0.1,0.11,0.25863235857252576,87,33191
2013-08-16,SPY130921P00142000,SPY,put,2013-09-21,142,165.83,0.11,0.12,0.25246495309696715,3697,56233
2013-08-16,SPY130921P00143000,SPY,put,2013-09-21,143,165.83,0.13,0.14,0.24913012884087207,1492,44489
2013-08-16,SPY130921P00144000,SPY,put,2013-09-21,144,165.83,0.15,0.16,0.24485058229256326,120,28631
2013-08-16,SPY130921P00145000,SPY,put,2013-09-21,145,165.83,0.16,0.17,0.23723894186215366,601,60013
2013-08-16,SPY130921P00146000,SPY,put,2013-09-21,146,165.83,0.19,0.2,0.23411915279017595,274,28929
2013-08-16,SPY130921P00147000,SPY,put,2013-09-21,147,165.83,0.21,0.22,0.22784133057759007,534,40284
2013-08-16,SPY130921P00148000,SPY,put,2013-09-21,148,165.83,0.24,0.25,0.22301706189547202,3328,28751
2013-08-16,SPY130921P00149000,SPY,put,2013-09-21,149,165.83,0.27,0.28,0.2174017139707604,3486,31468
2013-08-16,SPY130921P00150000,SPY,put,2013-09-21,150,165.83,0.31,0.32,0.21264349177285796,14411,175271
2013-08-16,SPY130921P00151000,SPY,put,2013-09-21,151,165.83,0.35,0.36,0.20704666318560586,8672,50098
2013-08-16,SPY130921P00152000,SPY,put,2013-09-21,152,165.83,0.4,0.41,0.2019267568435764,1319,29258
2013-08-16,SPY130921P00153000,SPY,put,2013-09-21,153,165.83,0.46,0.47,0.1970913259758141,1581,29703
2013-08-16,SPY130921P00154000,SPY,put,2013-09-21,154,165.83,0.53,0.54,0.19227496752524265,2583,32191
2013-08-16,SPY130921P00155000,SPY,put,2013-09-21,155,165.83,0.61,0.62,0.18731328206291153,7041,190725
2013-08-16,SPY130921P00156000,SPY,put,2013-09-21,156,165.83,0.7,0.71,0.18210027421190106,4193,82834
2013-08-16,SPY130921P00157000,SPY,put,2013-09-21,157,165.83,0.81,0.83,0.17769992466756745,9535,48453
2013-08-16,SPY130921P00158000,SPY,put,2013-09-21,158,165.83,0.95,0.96,0.17336234093604405,13474,77853
2013-08-16,SPY130921P00159000,SPY,put,2013-09-21,159,165.83,1.1,1.12,0.16886866934901262,13073,94684
2013-08-16,SPY130921P00160000,SPY,put,2013-09-21,160,165.83,1.28,1.3,0.16434707750613242,12865,173359
2013-08-16,SPY130921P00161000,SPY,put,2013-09-21,161,165.83,1.49,1.52,0.16017722615910834,10337,40161
2013-08-16,SPY130921P00162000,SPY,put,2013-09-21,162,165.83,1.74,1.76,0.15573823975401252,16475,102439
2013-08-16,SPY130921P00163000,SPY,put,2013-09-21,163,165.83,2.02,2.05,0.15139279501173167,33187,56941
